country,code,10411,10412,10501,10502,10503,10504,10505,10506,10507,10508,10509,10510
阿富汗,AF,0,0,0,0,0,0,0,0,0,0,0,0
阿爾巴尼亞,AL,0,0,0,0,0,0,0,0,0,0,0,0
阿爾及利亞,DZ,0,0,0,0,0,0,0,0,0,0,0,0
美屬薩摩亞,AS,0,0,0,0,0,0,0,0,0,0,0,0
安道爾,AD,0,0,0,0,0,0,0,0,0,0,0,0
安哥拉,AO,0,0,0,0,0,0,0,0,0,0,0,0
英屬安圭拉,AI,0,0,0,0,0,0,0,0,0,0,0,0
南極洲,AQ,0,0,0,0,0,0,0,0,0,0,0,0
安地卡及巴布達,AG,0,0,0,0,0,0,0,0,0,0,0,0
阿根廷,AR,0,0,0,0,0,0,0,0,0,0,0,0
亞美尼亞,AM,0,0,0,0,0,0,0,0,0,0,0,0
阿魯巴,AW,0,0,0,0,0,0,0,0,0,0,0,0
澳大利亞,AU,17.779,0,0,0,1.244,1.244,0,20.916,0.768,0,0,0
奧地利,AT,0,5.873,0,20.16,22.625,2.802,26.263,9.129,5.627,40.51,4.436,2.774
亞塞拜然,AZ,0,0,0,0,0,0,0,0,0,1.598,0,0
巴哈馬,BS,0,0,0,0,0,0,0,0,0,0,0,0
巴林,BH,0,0,0,0,0,0,0,0,0,0,0,0
孟加拉,BD,0,0,0,0,0,0,0,0,0,0,0,0
巴貝多,BB,0,0,0,0,0,0,0,0,0,0,0,0
白俄羅斯,BY,0,0,0,0,0,0,0,0,0,0,0,0
比利時,BE,0,0,0,0,0,0,0,0,0,0,0,0
貝里斯,BZ,0,0,0,0,0,0,0,0,0,0,0,0
貝南,BJ,0,0,0,0,0,0,0,0,0,0,0,0
百慕達,BM,0,0,0,0,0,0,0,0,0,0,0,0
不丹,BT,0,0,0,0,0,0,0,0,0,0,0,0
玻利維亞,BO,0,0,0,0,0,0,0,0,0,0,0,0
波士尼亞,BA,0,0,0,0,0,0,0,0,0,0,0,0
波札那,BW,0,0,0,0,0,0,0,0,0,0,0,0
波維特島,BV,0,0,0,0,0,0,0,0,0,0,0,0
巴西,BR,0,0,0,0,0,0,0,0,0,0,0,0
英屬印度洋地區,IO,0,0,0,0,0,0,0,0,0,0,0,0
汶萊,BN,0,0,0,0,0,0,0,0,0,0,0,0
保加利亞,BG,0,0,0,0,0,0,0,0,0,0,0,0
布吉納法索,BF,0,0,0,0,0,0,0,0,0,0,0,0
緬甸,MM,0,0,0,0,0,0,0,0,0,0,0,0
浦隆地,BI,0,0,0,0,0,0,0,0,0,0,0,0
柬埔寨王國,KH,0,0,0,0,0,0,0,0,0,0,0,0
喀麥隆,CM,0,0,0,0,0,0,0,0,0,0,0,0
加拿大,CA,19.645,40.649,57.034,0,0,0,0,0,0,0,0,0
維德角島,CV,0,0,0,0,0,0,0,0,0,0,0,0
開曼群島,KY,0,0,0,0,0,0,0,0,0,0,0,0
中非,CF,0,0,0,0,0,0,0,0,0,0,0,0
查德,TD,0,0,0,0,0,0,0,0,0,0,0,0
智利,CL,0.98,7.118,0,0,0,158.736,14911.791,11877.062,6134.822001,11019.753,5356.445,301.064
中國大陸,CN,360.19,184.63,544.725,137.3,473.72,339.585,601.425,442.295,332.829,315.7,271.57,345.058
聖誕島,CX,0,0,0,0,0,0,0,0,0,0,0,0
可可斯群島,CC,0,0,0,0,0,0,0,0,0,0,0,0
哥倫比亞,CO,0,0,0,0,0,0,0,0,0,0,0,0
葛摩,KM,0,0,0,0,0,0,0,0,0,0,0,0
剛果共和國,CG,0,0,0,0,0,0,0,0,0,0,0,0
